id,phone_sequence
fadg0_si1279,HhHIrwLAMJULJarIrDbeaBLMJMvIrIDwLMJMwLQJtJLJ
fadg0_si1909,HMLtLtvMbnbLtMKznwLkywDUDwDBlBcPBwUJLIrFBUJLlhlhwLvLDyULtLtMAlwKMwr
fadg0_si649,AlkwLJncDtIrJUJtIrIDCBagbLHAhwnwLKTywDwLMJMywnwLHAIrLlMlwJnwDIryJLhlMnbnbwLKLAMtIrIrIraFBFwLAhcABwyswrtKMbncLH
fadg0_sx109,MAJKJKyUJtJBcwLMwDwDJLHtIbyEDCvCIrIrbgbwELABLASagmDnwDJLMJywLMJBgBgcFcLHMw
fadg0_sx19,HASncBcFDCDwDwncDLUJBFBFQBSIrLAvDwDvnaBtLtMlwDLhytJBcncDwLUJtJwsyLD
fadg0_sx199,JULlhTywnwDLzKMJwBFBLCQlIrwDyKMwsmrwrFcQhBFBSIywLmhywLALJLlhlhJcrIrsyKMrLMzMwLAwDLBLDMJMAvbCnsywyLzKzwJLMJUwUwyUJUJwnwJLJ
fadg0_sx289,lSGwcLlwnrLHtCIrwLMLArFBaIDrDKUwUJUJwrLlhIrIwyJLtHMJBgnDwDLDLJUynbgaFB
fadg0_sx379,HvbsbgDLkywLUJLJLtMtrIagIgwLmhyBEDBgcactJUDwDwUJagBDLlHlnrwyJUJLMnbnswUJUJ
faks0_si1573,JLtLMLMLATwywJLAvbeagCgLtLlMwDmwFBSFwUJLHMlMwPmDncwDwDsSDwyvLvAvbsLuwrLkwnwDsDSswUJLlwywPmCwLtBLhcBFcLMJUtLtSaISaIrwDmwEyDyLKiMKMbgacLlhwyMw
faks0_si2203,JLMJLAMlMwrQIywUJUwswUJUJtIrwLlhlwUJLAhcagswLDLJMUywEwLvMtSBwKJDngaFBFLB
faks0_si943,ALMLKtLMLHIrLDknacLAKJiwnDmsytLtJBaBtLtHBagarLhCBSBaFBSBcLAJLHlwLAMAvMwsyKJMwnFswDLyLJ
faks0_sx133,JLMJLMLlHATyLJwrIywUJBcFnrLAMwDsywPmDyESywDswLtLtJtrLAaBAtSBSBsnwLHAJBarcDwyLAMK
faks0_sx223,JLMLHLtHSBwLlMlcwcLDLCHhBFwLAMAMKtrLhBagrLJLAMAMvMsywLhChBaBFDwDlBwDLAuIrIagsK
faks0_sx313,JLtMLALKLAMtIrIagLJtagnLtJLJtaIrFEFDwyJwyDBcLhBaAgrLAJULhHhcFBtaSaIywLuAuInFaFBgeaFBLULM
faks0_sx403,HArAIrSarILrAIrIrIFcLHLADwJUJMnwnwJcLQHhBFBSBSBsyKJLArLJBwswLDhBagacFBLJUBUBwUwUJ
faks0_sx43,kMnvbnFBFBQBrFBwywLlHMAyLHhHBarIaCAvLtMtHlcwsDnswLAJLHAHSBwPLmkwLhkMw
fcal1_si1403,iKLJLMLKLKLKtMLvLvAHMkwFSBSBaBSBnswUJLtMlMsbwDLkwLlwLHwvbsyUJKJMwLDwUJagLAIrwLhASBLhlhBSBagbDnwUJULJDlDhDbDbLtMnbwJLJwLJnbeaQtLB
fcal1_si2033,AlhSPFrwLhkhwywLAHBaLJBtKMwbsbyDLkwLJULlMHIrIFBSBgsnwQJLMcFaSIwDBgLHLtLMlMswnwJ
fcal1_si773,JLlSBlBcngDnIneaBcLHcAHCIagLQzUMwngLAJLMIrIagbwJUJUBwLtIrwJMnrIFBLHhlnbsDswUJUJ
fcal1_sx143,HMlwUJMwbCwDhwLkzMzMwDnwrLtMtHIrwULkTywLChcFBJLAMywrwLklknbsbsbDBaBaFBcB
fcal1_sx233,ALAagaebFBSBgsysnbDQtIyPSBbsywLDwyLDlwJHbDsyEDLULMwnbsDED
fcal1_sx323,MwQtJtagarLHIrQlDnbDnwLHlwncDLtHIrICIrIaIagbnDQmlwsEDeagcDLMJAHAararCrDLD
fcal1_sx413,HMkwbnbtKtMJULlCSDyUJLtCSByTywUKJUJlDwsylwcLHtJMABSBgDsDLJUJLAearLtLtlCDbLKLMKMKwrUJLAIrLM
fcal1_sx53,AyEDCwsDwUJMwLHSBQBcwLMAMAMvDbnLChywBsnrIsyLHAMwDLMJMJMvbsyEyLDwDwDUJtJMncDhBSBSBJ
fcmh0_si1454,aHaIrswLzMUwDBCBcBgsyLlLhwDCDwsyswDLDkMvDeagwLMJKyPyPwUJLMADSrQLluIrnrIDsywnwJLAvcBaBCLlHAwUJUwUKwDcUJUJcLtJLHBaBgsDsyDwnbncDwJLizKMwsrwJ
fcmh0_si2084,AlhShSBgncnLhHbgmgnwLMKMAyPwLCIrwDCDLkwnsbnbD
fcmh0_si824,JMncLQhSBaFaBQtHIrIDwUJUJnrCIrsgwLziKiKMwDLkhknbgwUJUJMvwsyEDyvsbwDwUJaBagswDLlMAIrnLHIrIsKwDLkUMTMwywLMlyLDwnbsDywtLtlIbgLKMIrwUJ
