id,phone_sequence
fadg0_si1279,HhHIrLAJUJUrHcarIrDbeaBaBLMvrDnwLMwQtLtJ
fadg0_si1909,HLtvnbnbLtAKwnwnwPwLuywDULDwPBlwPBPwUJUMIrFBUJLlHhkwLQvDyULtlwUDKiKr
fadg0_si649,lLTuwLJNtJlJcnFQtQtHIrUJtKIrICDCBFBgbLlhlhwnLtKTyDwLMJMJMHywcQLNtULHAHIrLlHlcwUJwncDIrIrUJLHlhknLHMtAtIrvuvrIrIFBwLABywymrLtKiAKbnbcLH
fadg0_sx109,iJKyUJtJBcnLvLMwDLJLHIrgyEDECEvCIrIgbgwELABLvBaDwcbDUJLMywLMJBacFcFcLHw
fadg0_sx19,cvlFHFBwFPcDCDnDncDCDLUJFBQSrIrLAvwnDeaBaBtwDEDELhmhysytJBcDwUJwyED
fadg0_sx199,ULBTuynDEyDLziKiKiMwFBLmukIrIrwDyzKwmrwPcQChBFSIywLmwLAJLlhcFGIrKrLMwLAuwEDLMvMAvCnsLzwUJLMAUwUyUJwFwUJLJ
fadg0_sx289,SDSwnLlkwrLHJIrgsLtMJLAuFBamKwUJUMJUwrQLQhQIwPwrIryTyUJltMJcBnDLDJyBbgmB
fadg0_sx379,HvAvbnbDEDLkuywQlDUJLtMIrIagrLmkwyEDyBaBgcFtJUwDJUJaBaDBLHlMrUJLMznbswDUJU
faks0_si1573,MizLKLsLAwUJLAibaLALMcFwcDPyaFSFUJLlMwmDcnDGDbwyvbsgwLkhmurLknwnDwUJLhyTPrmCmwPQtSBLhBFPFPBPFLMJULSarPSaIrDwDyDLKiMKbcaLkhwyLy
faks0_si2203,JLJLlkwrQIyPUJcwswJUJtQrIwOLlhlkwUJLHhagsLtJwyEyELAtBFPFBwDKzKLDBDnbeBFLB
faks0_si943,MALyKtLALHIrLkhcaLAKiKiwPwnwnDCwsytJtaBFBtAtarILhBFSBaFBScnLAJLlhwLHMHAMsyKzKwBDwDLJU
