id,phone_sequence
faem0_si1392,AnhcgwJwPwDCDtAtaILmlwUnbncCDLhBFBLlcwUJUJUwLMJiJMJUKPSsKtKMKMDSFSIrQtJtJtaeCvbnUcLHMHvHvMbwLAwyECKzKJKtKbnbnLkLsAwsbnDLDHDtMywsnFBLMJ
faem0_si2022,MUJLSCShcScngmbnbeFBaLtMwLMrwsrKyLkMrIgbQtSaIA
faem0_si762,tLtJtJtMwPFcSBUJULBCaFBvHBFBFBFBSBLBLwswswDCDLhBFBSBSwLNlNLMJLANJHtBgbgbgsysy
faem0_sx132,HwHvtHMcLlhPBPOPwUJUwBTUwywDnFcnmLmkrIagsLmuyLAuFcFBvbnDLkwLDvbsbncDlDLDLkMJUJ
faem0_sx222,TyBaFBSFBULAMBFBaBLhSwLNQlMLlHDvAvMbcQvtHMHcBSBagaLzMwLAFBwLuAUrnbnwncCLhHBaFBFBJLJ
faem0_sx312,lhlwPFPFBUwnwDLDUMzJKwUJUSBPBLhyUJUJLMIsLtAJtarIrILmhwsLtvATyPysyUJNMwswELAtNtNlwnDUNLlNJMNMirLAMKnrtcBSBsLtIrJLzMJ
faem0_sx402,HLJLALSPFBFUJUJUJrQtQCQIrLharILhHtvHagsbnbQLDLkMrIsLMAMKJBFBJLMaeaLAMLA
faem0_sx42,HkHhwLlklBSOwLABFcUJULHcaeBGBgnrUJULAanarILuzyTPysvAvswUJLMIrIrIsy
fajw0_si1263,tLtLJtJtJtJtJtJtJtLtJLtJLULJLhncFcFrcQUvHvernbabDmDkbcbcbngbrLAJAJtBJIcDnwDwLhuInswQUJUJUJwDncDLlklwnwLtnwUJUJUJLAHBLMHMtHMebLMAJULJLABgngwLMJtJtKwDysysnwLAMAMAMkebnerBaIBaBacDLkwDwCDEsEDyEwDwJU
fajw0_si1893,HSwyEJLNlMJMUMwLAybnrbCaBagacLMJMeagbDLDLMLACcCLHveFrwUJUwDJtHcFBcBQBtLtLMJ
fajw0_si633,vMHvTywsDlQIrcagbDLHMtMJMkwDCDCDnsnLlwLyswyrFcDCDBcFcLkUJUJlcLhPBgcacDJUJwUJLlHhnbwLJLlMwPEDCDhuwUJwLQkMwPrwUJUJwLlDwULlCDCDywEDLkhkcBUJMaFcILMJtyLMLU
fajw0_sx183,HLHLMChSBSBagagnbgnceBcJUJULDLCSBwLHMluksbDCDysEsyBFBaeBLacacgacDQmBPDwUJLMtLwDLuhuDcFcFBcB
fajw0_sx273,lknbwLwnbAsbsyECDCmSIwywrLhHBaBGsGgsysbDJUJUJlwLhwLMlMkMwLlHDPCBcBcLAcLcAcacveaceBcLH
fajw0_sx3,HlHlwJLScwUJUwLyUJUDyLtLSBSaIBeagcgcwcwJ
fajw0_sx363,lHlwLMAMAHaeBCBaCaICDLCQkTPwLzMtJtMHlHcCDCcQtJLtBagagaCBIgbnwDLQkwsnsnswCLhwDLHAvAvsbwECBaFacJ
fajw0_sx93,HAHcLlMUJwcwJUJDCaBLJBEJCJABagcaDcbeacaLtNtvtyLJiJyULULbnAnbsgbswLMJLtLtLtLJtJtJ
falk0_si1086,JvLALKLyLyAMLvyLyLlHlMuwnwDCwLAHAaIrsybaeagagLuhrtrCcbnJLMkJMagIaILhwnLMIsyLMJ
falk0_si456,MAMwPBPFnbnabamlnwLAKAswyUJwUJUBvLgaJBSarbgbnwDLuwIsyswsLtLtagswUJULDCwcLM
falk0_si658,HLMALtLytLyLlwUJLMIrsywMLmBSBagAgDCQChkwLJUnwDLhChcFBgagwUJUJUJwLUJKJKJKATyDCDCDTyLvLACwnswJLlwUJUrLHAteBFBnwLULiKzKzwywDcCQctrIrUJUJceBgacaLMsyLy
