id,phone_sequence
fadg0_si1279,lhIrnwLAJUgaIrDaBLMIrDwLMwnQt
fadg0_si1909,JLJtbLziKiKbnFPsFwLkuwDBPwcwUJLSIFBFBJLHwLDwyNtNlNwKr
fadg0_si649,wTwLJncncQtIrIrUJtIrCDCBFBgbLAwnwLQtvTywDwLMywQtQLNMHIrLHlwcUJwnDIrJLMnbnbLMtrvrSInFcwLABymrKnbnLH
fadg0_sx109,vJKyUJBwnLMknwcDJLMHIrgyEvIrIrgbELABaDcJLMyLMJBcFLH
fadg0_sx19,lTcBwPCDwnDncDCDLJFQSaSIPrLAbnwDaBtwDEDLhytBncDUwyE
fadg0_sx199,TnbnbDLziFBFlLkIrnDKwmwQBaFGSwyGmkwLAJLhcFcgIKrLMwLAwDLMsLzwJLMwUyUJUwcwUJ
fadg0_sx289,SwnwLlmlkrLHIyLtLAcBaLKwUJUrLQlrwryTyJLNtBnDJybB
fadg0_sx379,lvHvHsbsbDLkukuTwQCLJLMIagagLQmhmQyEBncnJwDJUJacaDLMrJLMnsUJ
faks0_si1573,NLvwJLAbgegLkMwcncDSFUJLMlMwswDcDvbsLunrLkwDwULhyPDwQtBLhBOcwBPBPOLMJULSaIrSaIrSDwDLKJKbCLhy
faks0_si2203,JLlwrQIyUJcBwUJtwOlcwJLMkagLJyDwELMtBwLKDcgegeCFBC
faks0_si943,JLHIrwLkacLAiKwDwDCsytaBFBtaILhBFSwOLAJLHlwLMHsKwDJUJ
faks0_sx133,JLlHvyLJnrywUJBcarIrLAwDEDSmyDEywDLtrLASwLABacDLiAiK
faks0_sx223,JLlLlHBcncDLlcLhBcOLMAMAMirCLhagaLAMsLhBaGwDlcwDLuarIrIagIK
faks0_sx313,uMuIaLJNtJtagLKJtaGaIrSDwUJwDEBcLhaLAJLHcBctaGIyLuaFBSebgeSF
faks0_sx403,vLvIurSaILukuIFLCLHAwUJnwnwJcQFBSBSBwyJLAarLMJcwDwDLkhBgeBQJwUJ
faks0_sx43,wnbvbnBlBrPSByLHyLHBaBaIaADatNcwDwLAJLABwyPLkwLk
fcal1_si1403,KLAMNLALAwbnwcSaBSsUNlwbDLkwLlwLHsKwDJgLAOwOLABLhBgDnwJLlDCbsbmDbnwntnbnJwLJnBt
fcal1_si2033,lOPOwOLhwLABaBaBJBQJKbsbDLkwNlNrIrFSBSBSsbnbJLMaIsBgLNlswnbnmnJ
fcal1_si773,SBnmcFaBaBLAHIagaLznLALMIgJBFBywLtQtIrJnQIFBLksbsUJ
fcal1_sx143,lwJwsbDLkwLznwDwLtIrULkyTPLucBJLAwywrLkswmsbDBagcBFBFLQ
fcal1_sx233,vagBSBnsywnDLQtIyPSbswQCDyDwJbnbsDELlnbsELE
fcal1_sx323,lwtJtaILHIrQbnmwnLlnbnCDLtIrCrIgmQswEDFcagcgDLMcagDCD
fcal1_sx413,lkbtLDCDyUJLSymwUJKLDswmcLHBSGsgDLJULAaItlCbLiLMiIrJLAararIrLM
fcal1_sx53,TwywymlwmDwUJwDLHBcwLAbLhyTwBysnrIysyLAwDLMsbsDJnbDLhBJ
fcmh0_si1454,gvcaIrFIswLzwBcFBsyLlwCsDLMvegLziKTyTPwUJLMSrQhQnrIywJLAacCLHwUwsKwDJUcQtQLHhHaBynJLMirwrwrJUJ
fcmh0_si2084,SlSBnmwLhHhbebmwLMyPQIwswCDLlsbCD
fcmh0_si824,JnQBtNtrIDUJUnQCsKLiwDLkeagJUJsEyvDwnwDUJUJgELHIbnLHIrIsKwDLzUMTIyPtNtyDCnDTwLtbLiziKIrIwJUJ
fcmh0_sx104,vyUJLMkFBFBFBcLkagCLQLtHrIcCcLhsLur
fcmh0_sx14,lwlhyLNtBaIrLNlnsIrUJLMwswJUwLJUJsnsbCLkLlIhIyQvQvyTPsnIQIytaIDCDCynBgcg
fcmh0_sx194,lwlhnsywDLDLzFGgwBSnDragBagLkwswKwDE
fcmh0_sx284,zbcbtNLlMkMeagabagmuyTPBaILuvTPwLkwDtQNtsLQhrcQLlhwJwDLDzwtLtLtTPLziLHIryLiwJUJ
fcmh0_sx374,AzagaDLAByDJUJUJwKaBtNswnKLtaGInBnLQLQmwE
fdac1_si1474,vgJLAywsybDgDCbDvwvyUJbLhkhBwDNLCgaLkMkMwJLMsbsJUJLJLJUJ
fdac1_si2104,vgeaJtLvtAvgbgvKAvTyJtJUJNneagaLwnslLcBbgJKJKJLkwcQaGnJwsyLwbnbDLBFBgbgbJLHM
fdac1_si844,tlbebegagcDUJLMbLlDnwnwLABaFBncQtswswKJKJwDUJwsywUwULzisysyPQLMLvbvbLHMlMysLAJLHhbCDLMJncnQbLicacaBLlHlbsLAJLHhnbnerIgywDLMJ
fdac1_sx124,ughgagaLJUzwLiMJiJLCsmkwLAHyPmlmrarILhyTyPBmwcQtaBaBLU
fdac1_sx214,lnCaDwyEDLkwBFBagvagacDlnJUJLHhgbsbLknwcSbLuBnwnwJwnDwDLkMwLwnwDlnwJgaDLQ
fdac1_sx304,JiKysLMJLMeagaLAwsyEwUJLKLICIbgamLDlcnctIsbJLMegDCDUlnQLSCaSacDU
fdac1_sx34,kbebBeBEBwDLzkzwPLzisbeByUJLMunsLmyLkuwswUKLKiwPwUJ
fdac1_sx394,AbeBJwybwCQCQCsLMJLCLChcaeaeFQvDQUJwDLMytJLMkIagaD
fdms0_si1218,lHFBcLJCPaIrcBQrLMkcSBnBgDvyCDwDLHvbKDU
fdms0_si1502,TwBcwUDnDbsmwLUabLMBwELHvbsDwsELADvbsLAstSBSBsLMywyLQLhwLHsLAwLDenagaDLDLzwJwLHMlMHvbr
fdms0_si1848,vSyLAwDLkagbegLMiyPICLCIuSyLAwDEDEDLukagBgLASIywBLHyLHBLB
fdms0_sx138,lwLABcDUwLAbnJLCDCrwJLhkBwBUJwDwDLAJULlwnwDJwQtNLHIrtvyPCD
fdms0_sx228,lkwvywLHSBGwDLkMcFBQrwDlcLNLNlNyTywnDKwDwLy
fdms0_sx318,lMHNByJLMwswLlDCcgcLAwLMsmwcnUbncbCLhytSaBtIagagaJLMk
fdms0_sx408,vgLkmIaILlwJncCLhSnsnLhbnbDCgvbQtQcwDMwDwnbtLiswsbsEsyDELKz
fdms0_sx48,luIbnDclQlkrbeaeCLuAuIwPvrIgbLHIwELDyEywDLHbsDvswsLAbgbLMNJUJ
fdrw0_si1283,lwmyEywDwKnBLMlnLlnwDQsmyTyFaGgbLMwmvymwyncFtBaBgbaLlMwLAsUwQgbebLHclLlBywnLiHtgILJLM
fdrw0_si1423,lLklkhbebaLkagDTyvTyLkhkagamcgecLHLMwLhBgFBSBFBLB
fdrw0_si653,JKwOFBSByLmQmwJwPwUwDQIyaeBgLmwySyTyTyaBwLDagaeBygLUzJzJiziJKU
fdrw0_sx113,vbnDCcnJLAwBbvbaLhlkcCwbDCDLwULAuywLuktIyvTwQLhbebeagtLMALJLJLN
fdrw0_sx203,lwLAagagUBSBnsvbnDlwLmkwLhIacLHLHBsyLvbnLlwKwFBFagacag
fdrw0_sx23,lwPFwUwUBDCyUwJKwDJvaDCwDagULDCaDBlBcBwJBsvy
fdrw0_sx293,lAlByJLMsLlwULMknrLmwyLMsnLhcLABagagLMwmklwLAByDwUJUJtnwDCsDy
fdrw0_sx383,lcwLAaLHMlcwLAISByDnwswKbCLHBPwmDcagacDaBSaSFaIrwysvbnDcBCIgagaLuALA
fedw0_si1084,khbnLlwsyDCPCwyCvQLHhlwCsLhyLhFcFtNtaIDCbsgJKnbcDwcLALagagacLQnsJKnbsLtaFaFBDEBLtQHSBywLiLkyncbcLmhlwsysKnsLMJyQaBt
fedw0_si1653,vwyswsyUJLhagaBLAJwOFPLlswDwUwBsyLyLB
fedw0_si1714,vKvAvywbwrUJLJLStSaSIncFlBPBaLALSLSwmDcaDBysJLMknbnLhlhysbnD
fedw0_sx184,lwlsLMAvbLNJBCyTyeaeaBLAaBSGsUJUJUvIarIryLMJLJCgLAyvTyTPywrULJiMUJ
fedw0_sx274,ABmBwnBCQtvtvSBwJwOPULhgaLhlkwcFQlkcLuziKyPTPwrIwJLlwDcrJgagagLizLzM
fedw0_sx364,lkwyLMzcbnbDLMvbgagCDCBPBsysLyLAbsDELAagaeaeBLDCBatJLABFBSBgDJagagaLmwsLSwLlwcwcLhaIsLhkbaDLkLDcgcmQmsKyvwyLmkwyDUDJwJLMkMkcCLHaBagLM
